id,judul,isi,kategori,input_text,urgency,intent,location,object,sentiment,summary
22005,Proyek Jalan Tol Pejagan-Pemalang Seksi 3,"Selamat siang, mau tanya tentang kelanjutan proyek jalan tol Pejagan-Pemalang seksi 3 di Kabupaten Tegal. Kapan sosialisasinya? Terima kasih.",Infrastruktur,"Judul: Proyek Jalan Tol Pejagan-Pemalang Seksi 3
Laporan: Selamat siang, mau tanya tentang kelanjutan proyek jalan tol Pejagan-Pemalang seksi 3 di Kabupaten Tegal. Kapan sosialisasinya? Terima kasih.",low,question,Kabupaten Tegal,proyek jalan tol Pejagan-Pemalang seksi 3,netral,Pengaduan tentang proyek jalan tol Pejagan-Pemalang seksi 3 di Kabupaten Tegal.
22022,Tenaga Dokter di Nusa Tenggara Timur,"Pak Menteri Kesehatan. Tolong perhatikan kami RSU di daerah NTT, tenaga Dokter kurang pelayanan tidak maksimal, tapi bisa melayani 3 s d 4 tempat. Sangat berbahaya... Trims.",Kesehatan,"Judul: Tenaga Dokter di Nusa Tenggara Timur
Laporan: Pak Menteri Kesehatan. Tolong perhatikan kami RSU di daerah NTT, tenaga Dokter kurang pelayanan tidak maksimal, tapi bisa melayani 3 s d 4 tempat. Sangat berbahaya... Trims.",high,report,NTT,kurangnya tenaga dokter di RSU,negatif,"RSU NTT kurang dokter, melayani 3-4 tempat, berbahaya"
22033,Standarisasi Pornografi Pornoaksi,"Kemenkumham, standarisasi minimal pornografi pornoaksi tolong dibuat dan disosialisasikan kepada masyarakat.",Sosial,"Judul: Standarisasi Pornografi Pornoaksi
Laporan: Kemenkumham, standarisasi minimal pornografi pornoaksi tolong dibuat dan disosialisasikan kepada masyarakat.",medium,suggestion,,standarisasi pornografi pornoaksi,positif,Masyarakat minta standarisasi dan sosialisasi pornografi
22039,Biaya Operasi untuk Pasien Tidak Mampu,"Menkes RI yang terhormat, tolong inspeksi ke RSUD WZ. Yohanis, Kupang. Jika pasien tidak mampu, operasi penyakit dalam diminta bayar sekitar 10 juta, meskipun ada keterangan tidak mampu. Apakah ini benar?",Kesehatan,"Judul: Biaya Operasi untuk Pasien Tidak Mampu
Laporan: Menkes RI yang terhormat, tolong inspeksi ke RSUD WZ. Yohanis, Kupang. Jika pasien tidak mampu, operasi penyakit dalam diminta bayar sekitar 10 juta, meskipun ada keterangan tidak mampu. Apakah ini benar?",medium,complaint,"RSUD WZ. Yohanis, Kupang",Biaya operasi untuk pasien tidak mampu,negatif,Pasien tidak mampu diminta bayar operasi penyakit dalam
22067,Pembayaran Gaji Dokter PTT di Maluku Utara,"Selamat pagi, saya Andrianto, dokter PTT di pedalaman Maluku Utara. Saya ingin komplain mengenai kinerja kemenkes tentang pemberian gaji kami pegawai PTT, yang tidak manusiawi. Gaji selalu telat, alasan bermacam-macam. Contoh terbaru, gaji saya bulan April 2012, sampai hari ini 30 Mei 2012 belum turun juga. Kami para dokter PTT dituntut bekerja profesional di daerah minim fasilitas. Tapi hak kami diabaikan. Mohon feedback-nya. Best regards, dr. Andrianto.",Kesehatan,"Judul: Pembayaran Gaji Dokter PTT di Maluku Utara
Laporan: Selamat pagi, saya Andrianto, dokter PTT di pedalaman Maluku Utara. Saya ingin komplain mengenai kinerja kemenkes tentang pemberian gaji kami pegawai PTT, yang tidak manusiawi. Gaji selalu telat, alasan bermacam-macam. Contoh terbaru, gaji saya bulan April 2012, sampai hari ini 30 Mei 2012 belum turun juga. Kami para dokter PTT dituntut bekerja profesional di daerah minim fasilitas. Tapi hak kami diabaikan. Mohon feedback-nya. Best regards, dr. Andrianto.",medium,complaint,Maluku Utara,pembayaran gaji dokter PTT,negatif,Dokter PTT Maluku Utara keluhan gaji telat
22145,Pembalakan Liar di Kalimantan Tengah,"Yth. Bpk. Kapolda Kalimantan Tengah. Penegak hukum kalteng selalu memanjakan mafia kayu, hingga mereka tidak bisa jera. Ilegal logging yang ada di Kabupaten Barito Selatan yang sudah dipasang garis polisi malah dibebaskan. Kini sudah ada lagi ilegal logging di Barito Utara yang ingin di bawa diluncurkan. Thanks",Lingkungan,"Judul: Pembalakan Liar di Kalimantan Tengah
Laporan: Yth. Bpk. Kapolda Kalimantan Tengah. Penegak hukum kalteng selalu memanjakan mafia kayu, hingga mereka tidak bisa jera. Ilegal logging yang ada di Kabupaten Barito Selatan yang sudah dipasang garis polisi malah dibebaskan. Kini sudah ada lagi ilegal logging di Barito Utara yang ingin di bawa diluncurkan. Thanks",high,report,"Kabupaten Barito Selatan dan Barito Utara, Kalimantan Tengah",Pembalakan liar,negatif,Pembalakan ilegal di Kalimantan Tengah terus berlanjut.
196038,Pelayanan Kebersihan RS Rangkasbitung dan Pandeglang Mengecewakan,"Kepada Yth. Kementrian Kesehatan,Saya warga Banten prihatin dengan keadaan dan pelayanan Rumah Sakit Pembantu di daerah saya, yaitu RS Rangkasbitung dan Pandeglang. Seperti tidak ada pengawasan dan perhatian dari pemerintah. Hal ini terlihat misalnya keluarga pasien akan dianggap rewel ketika meminta penjelasan tentang kondisi pasien ataupun masalah administrasi. Lalu kebersihan juga bermasalah karena ada pedagang masuk ke dalam RS.Tolong ditinjau. Terimakasih atas perhatiannya.",Kesehatan,"Judul: Pelayanan Kebersihan RS Rangkasbitung dan Pandeglang Mengecewakan
Laporan: Kepada Yth. Kementrian Kesehatan,Saya warga Banten prihatin dengan keadaan dan pelayanan Rumah Sakit Pembantu di daerah saya, yaitu RS Rangkasbitung dan Pandeglang. Seperti tidak ada pengawasan dan perhatian dari pemerintah. Hal ini terlihat misalnya keluarga pasien akan dianggap rewel ketika meminta penjelasan tentang kondisi pasien ataupun masalah administrasi. Lalu kebersihan juga bermasalah karena ada pedagang masuk ke dalam RS.Tolong ditinjau. Terimakasih atas perhatiannya.",medium,complaint,"RS Rangkasbitung dan Pandeglang, Banten",pelayanan kebersihan dan pengawasan RS,negatif,Warga prihatin dengan pelayanan dan kebersihan di RS Rangkasbitung dan Pandeglang.
197168,Pencairan Dana Sertifikasi Guru Tidak Pernah Tuntas,"Dana guru tersertifikasi di Kota Samarinda, Kalimantan Timur yang belum dibayar adalah:1. tahun 2010 satu bulan,2. tahun 2011 dua bulan, dan3. tahun 2012 akan dua bulan yang tidak dibayar.Informasi ini menurut Dinas Pendidikan Kota Samarinda. Mengapa pembayaran guru tersertifikasi tidak pernah tuntas?",Pendidikan,"Judul: Pencairan Dana Sertifikasi Guru Tidak Pernah Tuntas
Laporan: Dana guru tersertifikasi di Kota Samarinda, Kalimantan Timur yang belum dibayar adalah:1. tahun 2010 satu bulan,2. tahun 2011 dua bulan, dan3. tahun 2012 akan dua bulan yang tidak dibayar.Informasi ini menurut Dinas Pendidikan Kota Samarinda. Mengapa pembayaran guru tersertifikasi tidak pernah tuntas?",medium,complaint,"Kota Samarinda, Kalimantan Timur",Pencairan dana sertifikasi guru,negatif,Guru tersertifikasi di Samarinda belum dibayar sejak 2010.
198229,Layanan Balik Nama Sertifikat Tanah BPN Tangerang Lambat,"Saya mengeluhkan lambatnya proses pengurusan untuk balik nama sertifikat tanah di Badan Pertanahan Nasional Tigaraksa, Tangerang. Sejak masuknya dokumen-dokumen pada bulan Oktober 2012 lalu (No. Berkas Permohonan: 73710 2012), sampai sekarang statusnya masih dalam 'proses'. Padahal, sesuai informasi di situs resmi BPN, prosesnya hanya 5 hari ( target _blank Mohon agar diberikan penjelasan dan ditindaklanjuti.",Administrasi,"Judul: Layanan Balik Nama Sertifikat Tanah BPN Tangerang Lambat
Laporan: Saya mengeluhkan lambatnya proses pengurusan untuk balik nama sertifikat tanah di Badan Pertanahan Nasional Tigaraksa, Tangerang. Sejak masuknya dokumen-dokumen pada bulan Oktober 2012 lalu (No. Berkas Permohonan: 73710 2012), sampai sekarang statusnya masih dalam 'proses'. Padahal, sesuai informasi di situs resmi BPN, prosesnya hanya 5 hari ( target _blank Mohon agar diberikan penjelasan dan ditindaklanjuti.",medium,complaint,"Tigaraksa, Tangerang",Lambatnya proses balik nama sertifikat tanah di BPN,negatif,"Pengurusan sertifikat tanah di BPN lambat, sudah 5 bulan."
219038,"Anggaran Normalisasi Sungai Juwana di Pati, Jawa Tengah","Proyek Normalisasi Sungai Juwana di Kabupaten Pati Provinsi Jawa Tengah sejak 2010-2012 sudah menelan biaya lebih dari 60 miliar rupiah. Akan tetapi setelah kami telusuri, uang sebesar itu baru digunakan untuk melakukan pengerukan sungai sepanjang 25,42 kilometer. Sedangkan panjang alur Sungai Juwana adalah 62,50 kilometer. Saya melihat proyek ini terlalu mahal; karena berarti setiap 1 kilometer menelan biaya lebih dari 2 miliar. Sedangkan berbagai persoalan baik teknis maupun sosial masih melingkupi proyek ini. mohon disidan atau disidik. Sepertinya kok ada mark up! Anggota DPR RI seperti Marwan Jakfar, Imam Suroso (keduanya berasal dari Kabupaten Pati) mengaku aktif memperjuangkan proyek ini.",Infrastruktur,"Judul: Anggaran Normalisasi Sungai Juwana di Pati, Jawa Tengah
Laporan: Proyek Normalisasi Sungai Juwana di Kabupaten Pati Provinsi Jawa Tengah sejak 2010-2012 sudah menelan biaya lebih dari 60 miliar rupiah. Akan tetapi setelah kami telusuri, uang sebesar itu baru digunakan untuk melakukan pengerukan sungai sepanjang 25,42 kilometer. Sedangkan panjang alur Sungai Juwana adalah 62,50 kilometer. Saya melihat proyek ini terlalu mahal; karena berarti setiap 1 kilometer menelan biaya lebih dari 2 miliar. Sedangkan berbagai persoalan baik teknis maupun sosial masih melingkupi proyek ini. mohon disidan atau disidik. Sepertinya kok ada mark up! Anggota DPR RI seperti Marwan Jakfar, Imam Suroso (keduanya berasal dari Kabupaten Pati) mengaku aktif memperjuangkan proyek ini.",medium,report,"Sungai Juwana, Pati, Jawa Tengah",Proyek Normalisasi Sungai Juwana,negatif,Proyek terlalu mahal dan masalah teknis/sosial masih ada.
